id,ts_ms,ts_utc,symbol,kind,message,mark,funding_pct,oi,cvd_5m,basis_pct,taker_buy_pct_5m
64,1777061839515,2026-04-24T20:17:19.515000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0983  x133  $61,472",0.098179,0.00125,326436428,3695.972823,-0.0264752303854,95.8824791938
65,1777061951304,2026-04-24T20:19:11.304000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,320.9326  x1168  $5,125,916",2316.3,-0.00014841,422502.8868,-600593.36502,-0.0754944889023,5.98445966296
66,1777061983061,2026-04-24T20:19:43.061000+00:00,icp-usdc,THIN_BOOK,impact excess 9.4bp over spread,2.4716,0.00125,763594.4,110.44225,-0.048527984471,77.3374301349
67,1777062070511,2026-04-24T20:21:10.511000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,541.0000  x5747  $12,895,861",77541,0.00112956,27484.94238,-106358.88077,-0.0934115843249,45.5473151941
68,1777062107357,2026-04-24T20:21:47.357000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 636.8900  x35  $19,779",636.89,0.00125,45766.956,-4085.6419,0.153322377991,22.7107018392
69,1777062111112,2026-04-24T20:21:51.112000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2720  x1011  $2,174,324",86.272,-0.00133603,3225297.66,-98798.59841,-0.102477405758,28.3450298168
70,1777062140035,2026-04-24T20:22:20.035000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0983  x136  $63,612",0.09818,0.00125,326330782,-6773.069709,-0.0254569522937,8.3271487769
71,1777062251364,2026-04-24T20:24:11.364000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,320.7322  x1277  $5,232,249",2316.1,-0.00011429,422433.5874,-208512.7359,-0.0733454137544,7.87894009506
72,1777062370889,2026-04-24T20:26:10.889000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,545.4680  x6191  $13,282,878",77468,0.00104892,27485.7354,-1658944.24717,-0.0786802357827,22.4243059025
73,1777062376876,2026-04-24T20:26:16.876000+00:00,icp-usdc,THIN_BOOK,impact excess 8.0bp over spread,2.4641,0.00125,763444,139.5601,-0.0567836138714,90.6690099802
74,1777062407491,2026-04-24T20:26:47.491000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 637.0164  x53  $26,261",636.38,0.00125,45771.714,-2250.30725,0.0165022985344,0
75,1777062411203,2026-04-24T20:26:51.203000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2592  x1158  $2,771,584",86.173,-0.00146469,3224240.46,-61069.73318,-0.123436042165,44.8493964028
76,1777062440266,2026-04-24T20:27:20.266000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0982  x124  $58,317",0.098107,0.00125,326370898,-4892.067955,-0.0285321241147,0.526305921805
